"EAD AVE","FID AVE","EAD 1","FID 1"
0.263184,0.141113,0.263184,0.141113
0.263184,0.141113,0.263184,0.141113
0.263184,0.141113,0.263184,0.141113
0.263184,0.141113,0.263184,0.141113
0.263184,0.141113,0.263184,0.141113
0.263184,0.141113,0.263184,0.141113
0.263184,0.141113,0.263184,0.141113
0.263184,0.141113,0.263184,0.141113
0.263184,0.141113,0.263184,0.141113
0.263184,0.141113,0.263184,0.141113
0.281738,0.141113,0.281738,0.141113
0.281738,0.141113,0.281738,0.141113
0.281738,0.141113,0.281738,0.141113
0.281738,0.141113,0.281738,0.141113
0.281738,0.141113,0.281738,0.141113
0.281738,0.141113,0.281738,0.141113
0.281738,0.141113,0.281738,0.141113
0.281738,0.141113,0.281738,0.141113
0.281738,0.141113,0.281738,0.141113
0.281738,0.141113,0.281738,0.141113
0.263184,0.14209,0.263184,0.14209
0.263184,0.14209,0.263184,0.14209
0.263184,0.14209,0.263184,0.14209
0.263184,0.14209,0.263184,0.14209
0.263184,0.14209,0.263184,0.14209
0.263184,0.14209,0.263184,0.14209
0.263184,0.14209,0.263184,0.14209
0.263184,0.14209,0.263184,0.14209
0.263184,0.14209,0.263184,0.14209
0.263184,0.14209,0.263184,0.14209
0.234863,0.141113,0.234863,0.141113
0.234863,0.141113,0.234863,0.141113
0.234863,0.141113,0.234863,0.141113
0.234863,0.141113,0.234863,0.141113
0.234863,0.141113,0.234863,0.141113
0.234863,0.141113,0.234863,0.141113
0.234863,0.141113,0.234863,0.141113
0.234863,0.141113,0.234863,0.141113
0.234863,0.141113,0.234863,0.141113
0.234863,0.141113,0.234863,0.141113
0.214355,0.141113,0.214355,0.141113
0.214355,0.141113,0.214355,0.141113
0.214355,0.141113,0.214355,0.141113
0.214355,0.141113,0.214355,0.141113
0.214355,0.141113,0.214355,0.141113
0.214355,0.141113,0.214355,0.141113
0.214355,0.141113,0.214355,0.141113
0.214355,0.141113,0.214355,0.141113
0.214355,0.141113,0.214355,0.141113
0.214355,0.141113,0.214355,0.141113
0.180176,0.14209,0.180176,0.14209
0.180176,0.14209,0.180176,0.14209
0.180176,0.14209,0.180176,0.14209
0.180176,0.14209,0.180176,0.14209
0.180176,0.14209,0.180176,0.14209
0.180176,0.14209,0.180176,0.14209
0.180176,0.14209,0.180176,0.14209
0.180176,0.14209,0.180176,0.14209
0.180176,0.14209,0.180176,0.14209
0.180176,0.14209,0.180176,0.14209
0.223145,0.141113,0.223145,0.141113
0.223145,0.141113,0.223145,0.141113
0.223145,0.141113,0.223145,0.141113
0.223145,0.141113,0.223145,0.141113
0.223145,0.141113,0.223145,0.141113
0.223145,0.141113,0.223145,0.141113
0.223145,0.141113,0.223145,0.141113
0.223145,0.141113,0.223145,0.141113
0.223145,0.141113,0.223145,0.141113
0.223145,0.141113,0.223145,0.141113
0.227051,0.14209,0.227051,0.14209
0.227051,0.14209,0.227051,0.14209
0.227051,0.14209,0.227051,0.14209
0.227051,0.14209,0.227051,0.14209
0.227051,0.14209,0.227051,0.14209
0.227051,0.14209,0.227051,0.14209
0.227051,0.14209,0.227051,0.14209
0.227051,0.14209,0.227051,0.14209
0.227051,0.14209,0.227051,0.14209
0.227051,0.14209,0.227051,0.14209
0.212402,0.140137,0.212402,0.140137
0.212402,0.140137,0.212402,0.140137
0.212402,0.140137,0.212402,0.140137
0.212402,0.140137,0.212402,0.140137
0.212402,0.140137,0.212402,0.140137
0.212402,0.140137,0.212402,0.140137
0.212402,0.140137,0.212402,0.140137
0.212402,0.140137,0.212402,0.140137
0.212402,0.140137,0.212402,0.140137
0.212402,0.140137,0.212402,0.140137
0.212402,0.140137,0.212402,0.140137
0.212402,0.140137,0.212402,0.140137
0.212402,0.140137,0.212402,0.140137
0.212402,0.140137,0.212402,0.140137
0.212402,0.140137,0.212402,0.140137
0.212402,0.140137,0.212402,0.140137
0.212402,0.140137,0.212402,0.140137
0.212402,0.140137,0.212402,0.140137
0.212402,0.140137,0.212402,0.140137
0.212402,0.140137,0.212402,0.140137
0.177246,0.14209,0.177246,0.14209
0.177246,0.14209,0.177246,0.14209
0.177246,0.14209,0.177246,0.14209
0.177246,0.14209,0.177246,0.14209
0.177246,0.14209,0.177246,0.14209
0.177246,0.14209,0.177246,0.14209
0.177246,0.14209,0.177246,0.14209
0.177246,0.14209,0.177246,0.14209
0.177246,0.14209,0.177246,0.14209
0.177246,0.14209,0.177246,0.14209
0.17041,0.13916,0.17041,0.13916
0.17041,0.13916,0.17041,0.13916
0.17041,0.13916,0.17041,0.13916
0.17041,0.13916,0.17041,0.13916
0.17041,0.13916,0.17041,0.13916
0.17041,0.13916,0.17041,0.13916
